Date;Open;High;Low;Close;Adj Close;Volume
23/05/2022;11.867.080.078;12.047.809.570;11.785.759.766;12.034.280.273;12.034.280.273;4552200000
24/05/2022;11.807.780.273;11.842.809.570;11.576.110.352;11.769.839.844;11.769.839.844;4724430000
25/05/2022;11.732.450.195;12.028.889.648;11.714.269.531;11.943.929.688;11.943.929.688;4519690000
26/05/2022;11.906.830.078;12.337.730.469;11.901.870.117;12.276.790.039;12.276.790.039;4672620000
27/05/2022;12.421.799.805;12.682.580.078;12.405.290.039;12.681.419.922;12.681.419.922;4793900000
31/05/2022;12.688.950.195;12.762.839.844;12.482.320.313;12.642.099.609;12.642.099.609;6045500000
01/06/2022;12.750.309.570;12.820.469.727;12.457.910.156;12.548.360.352;12.548.360.352;4719900000
02/06/2022;12.498.629.883;12.897.629.883;12.447.769.531;12.892.889.648;12.892.889.648;4445840000
03/06/2022;12.650.379.883;12.724.809.570;12.505.759.766;12.548.030.273;12.548.030.273;4130040000
06/06/2022;12.745.889.648;12.804.459.961;12.534.580.078;12.599.629.883;12.599.629.883;4647010000
07/06/2022;12.456.490.234;12.737.299.805;12.413.559.570;12.711.679.688;12.711.679.688;4411240000
08/06/2022;12.682.809.570;12.776.650.391;12.578.549.805;12.615.129.883;12.615.129.883;4708980000
09/06/2022;12.543.370.117;12.666.410.156;12.265.860.352;12.269.780.273;12.269.780.273;5408460000
10/06/2022;12.052.589.844;12.082.690.430;11.825.349.609;11.832.820.313;11.832.820.313;5152020000
13/06/2022;11.472.190.430;11.568.650.391;11.254.190.430;11.288.320.313;11.288.320.313;5937320000
14/06/2022;11.385.179.688;11.418.219.727;11.205.919.922;11.311.690.430;11.311.690.430;4819890000
15/06/2022;11.468.129.883;11.751.290.039;11.346.540.039;11.593.769.531;11.593.769.531;5368500000
16/06/2022;11.286.870.117;11.311.049.805;11.037.209.961;11.127.570.313;11.127.570.313;5696630000
17/06/2022;11.172.650.391;11.357.969.727;11.089.929.688;11.265.990.234;11.265.990.234;7452830000
21/06/2022;11.446.980.469;11.638.469.727;11.446.980.469;11.546.759.766;11.546.759.766;5226260000
22/06/2022;11.427.740.234;11.708.080.078;11.423.200.195;11.527.709.961;11.527.709.961;5238180000
23/06/2022;11.622.089.844;11.729.620.117;11.515.480.469;11.697.679.688;11.697.679.688;5258200000
24/06/2022;11.826.950.195;12.112.820.313;11.812.179.688;12.105.849.609;12.105.849.609;9468130000
